title,language,source,url,body_length
কুষ্টিয়ায় ১৭ প্রার্থীর জামানত বাজেয়াপ্ত,bn,Daily Inqilab,https://dailyinqilab.com/bangladesh/news/864587,3446
রামপুরায় কার্নিশে ঝুলে থাকা তরুণকে গুলির মামলার রায় ৪ মার্চ,bn,Daily Inqilab,https://dailyinqilab.com/national/news/864590,2999
"ব্রেন টিউমারে আক্রান্ত তানিয়া বৃষ্টি, আজ অস্ত্রোপচার— দোয়া চাইলেন ভক্তদের কাছে",bn,Daily Inqilab,https://dailyinqilab.com/entertainment/news/864591,765
লক্ষ্মীপুর-৪ আসনের নবনির্বাচিত এমপির অ্যাকশন শুরু,bn,Daily Inqilab,https://dailyinqilab.com/bangladesh/news/864588,4054
পবিত্র মাহে রমজান উপলক্ষে দেশবাসীসহ বিশ্বের সব মুসলিমকে আন্তরিক শুভেচ্ছা ও মোবারকবাদ জানিয়েছেন প্রধ,bn,Jugantor,https://www.jugantor.com/latest,1383
জামায়াতের ঢাকা মহানগরী উত্তরের সেক্রেটারি ও লক্ষ্মীপুর-৩ (সদর) আসনের বিজিত প্রার্থী রেজাউল করিম বলেছ,bn,Jugantor,https://www.jugantor.com/politics,3079
পবিত্র মাহে রমজান উপলক্ষে দেশবাসীসহ বিশ্বের সব মুসলিমকে আন্তরিক শুভেচ্ছা ও মোবারকবাদ জানিয়েছেন প্রধ,bn,Jugantor,https://www.jugantor.com/national,2553
বিশ্বের বিভিন্ন দেশের সঙ্গে বাংলাদেশের ব্যবসা-বাণিজ্য সম্প্রসারিত হচ্ছে। দেশের কোটি মানুষ আছেন প্রবা,bn,Jugantor,https://www.jugantor.com/economics,2644
বাংলাদেশের নতুন সরকারের শপথ অনুষ্ঠানে যোগ দিতে ঢাকা আসছেন ভারতের লোকসভার স্পিকার...,bn,Jugantor,https://www.jugantor.com/international,2328
ভারত-পাকিস্তানের মধ্যকার বহুল আলোচিত মহারণ আজ। বাংলাদেশ সময় সন্ধ্যা সাড়ে সাতটায় শ্রীলংকার রাজধানী কল,bn,Jugantor,https://www.jugantor.com/sports,2262
"কোন দল কত শতাংশ ভোট পেয়েছে, জানাল ইসি",bn,Jugantor,https://www.jugantor.com,2562
ঢাকাই চলচ্চিত্রের জনপ্রিয় দুই মুখ শাকিব খান ও শবনম বুবলীকে ঘিরে ব্যক্তিগত সম্পর্কের আলোচনা নতুন নয়। ,bn,Jugantor,https://www.jugantor.com/entertainment,2571
জামায়াতের ঢাকা মহানগরী উত্তরের সেক্রেটারি ও লক্ষ্মীপুর-৩ (সদর) আসনের বিজিত প্রার্থী রেজাউল করিম বলেছ,bn,Jugantor,https://www.jugantor.com/country-news,2999
"পাবনা-৩: ঘোড়া ‌‘খেয়েছে’ ধানের শীষ, ফসল উঠল জামায়াতের পাল্লায়",bn,Risingbd,https://www.risingbd.com/bangladesh/,1527
"শপথ নেবে, সংসদে যাবে, রাজপথেও থাকবে জামায়াত: আযাদ",bn,Risingbd,https://www.risingbd.com/politics/,2000
নির্বাচনে বিএনপি ৪৯.৯৭ ও জামায়াত ৩১.৭৬ শতাংশ ভোট পেয়েছে,bn,Risingbd,https://www.risingbd.com/national/,1260
শেয়ার হোল্ডারদের নগদ লভ্যাংশ দিলো দুই কোম্পানি,bn,Risingbd,https://www.risingbd.com/economics/stock-market/,2672
‘জেড’ ক্যাটাগরিতে নেমেছে ২ কোম্পানি,bn,Risingbd,https://www.risingbd.com/economics/,1059
অ্যাপেক্স ওয়েভিংয়ের কারখানা আরো ছয় মাস বন্ধ ঘোষণা,bn,Risingbd,https://www.risingbd.com/economics/corporate-corner/,3075
‘যুক্তরাষ্ট্রের সঙ্গে আপস করতে প্রস্তুত ইরান’,bn,Risingbd,https://www.risingbd.com/international/,1911
"ব্যাটে-বলে আধিপত্য, নেপালকে পাত্তা না দিয়ে সুপার এইটে ওয়েস্ট ইন্ডিজ",bn,Risingbd,https://www.risingbd.com/sports/,662
বাংলাদেশের মানুষ অতিথিকে মাথায় করে রাখেন: সুস্মিতা,bn,Risingbd,https://www.risingbd.com/entertainment/,1269
ঋতুরাজ বসন্ত এসে গেছে,bn,Risingbd,https://www.risingbd.com/feature/,1181
নতুন সরকারের শপথের মাধ্যমে মঙ্গলবার (১৭ ফেব্রুয়ারি) দীর্ঘ দুই দশকেরও বেশি সময়...,bn,Jagonews24.com,https://www.jagonews24.com/topic/বিশেষ-প্রতিবেদন,1989
ঢাকা স্টক এক্সচেঞ্জের প্রধান মূল্যসূচক ২০০ পয়েন্ট বেড়ে গেছে। বাজার মূলধন বেড়েছে ১২ হাজার কোটি টাকার ,bn,Jagonews24.com,https://www.jagonews24.com/economy,3107
মাত্র ১৩৪ রানের লক্ষ্য তাড়া করতে নেমে ৯ উইকেটের দাপুটে জয় নিয়ে মাঠ ছেড়েছে ওয়েস্ট ইন্ডিজ। টানা তৃতীয় ,bn,Jagonews24.com,https://www.jagonews24.com/sports,3477
রোজার সময় সাধারণত ১২ থেকে ১৫ ঘণ্টা পর্যন্ত হয়ে থাকে। তবে কিছু দেশে তা ১৫ ঘণ্টারও বেশি...,bn,Jagonews24.com,https://www.jagonews24.com/international,2861
Jago Jobs - চাকরির খবর | Job circular 2025,bn,Jagonews24.com,https://www.jagonews24.com/jago-jobs,1565
ফেসবুকে নবজাতক শিশুকন্যার সঙ্গে ছবি পোস্ট করেছেন অভিনেতা জিয়াউল ফারুক অপূর্ব। তাদের...,bn,Jagonews24.com,https://www.jagonews24.com/entertainment,3736
"রাজনৈতিক অস্থিরতা, শিক্ষকদের আন্দোলন, প্রাকৃতিক দুর্যোগের কারণে শিক্ষাপ্রতিষ্ঠান বন্ধ রাখতে হয়। এতে.",bn,Jagonews24.com,https://www.jagonews24.com,3418
Unveiling the Mystique of High Temperature Superconductivity,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=pW0dvWpX9SO90FeQVYe72ElqCUvhgYUT5YQnwCSjfQg-1771159008.1902974-1.0.1.1-HXCsPWVaz0nB3eNbvn5ZVQieDtPsBsxeJaWpw2KrPDo,2428
Design Engineering: The Art of Crafting Innovative Solutions,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=hu_lULyA65v0V5SQaE1eSpUIJVchPfEdom4WCpIKUNQ-1771159008.608683-1.0.1.1-Tg2Lm4rUdtLIx7xJoYYj_GD1yo4GdQlArjFoD_l.dvA,2999
Disaster Response: A Symphony of Coordination,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=Cn4sEjXKLN7dtyr7fZZwOCGA_yNIhA0PUHA2EyvxMlY-1771159009.021445-1.0.1.1-Uz_oCYPFP57SFpafzcIBypneWg_QgMH3HPETey8OiJQ,4147
â³ The Fascinating Realm of Primatology â,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=WO6G40fNUUJ4MfAQGSzWR97CwTcsOisX4spYg6zDXvo-1771159009.5107298-1.0.1.1-HxwK7jvH9GdNOgfDuqFN_u1lcdChw_rtES71.cg.EKc,2532
Digital Logic: The Poetry of Binary Code,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=Q5Zo361YTsjbe09Pd6PZ5Tl.MGwkf3BS7R2Zq0f6Y2Q-1771159009.944601-1.0.1.1-nkt5jbompGWydAOD7MqOZBD.z8uVaboKVv.a5hDSpDg,3029
Unlocking the Secrets of Photonics,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=Gf6pNW.0eSRNN8URyGcU82Vo3jaHjmiFvRnQhsXaYL0-1771159010.383564-1.0.1.1-1_M9_f9wzvfNGdkijluDl6lxijHvjV.u21TAYHDoZxI,2809
Food Service Management: The Art of Culinary Harmony,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=mlhnW46oeaFz2kT95dytuJdxZ.1Z2wN4kLAs0YchUBg-1771159010.8028457-1.0.1.1-rY9UnVuxyUxv7OU.1IMGnwJ15PaEGfGSipbV7ZRpyfc,3036
Xenobotany: The Uncharted Realm of Alien Plant Life,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=wJJACaFcxXGAhAdCoBoOuvcxk0xfIQnZvK3xD3IQpNo-1771159011.258544-1.0.1.1-MHoAKY23YFlBfGZ07R5WT0w1LVJ6IfmOyrZ_IzlZJcQ,3985
Atomic Physics: A Journey into the Heart of Matter,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=hzJKpBsVWLPcuYFueFbeYfsjmvWwPz4DasHR4p2GR.0-1771159011.6649415-1.0.1.1-GKmNrn5OGbouVxcjqoSTvcGV7T38jzTbUwm9cMQ_Mug,2933
Telecommunication Engineering: The Pulse of Modern Connectivity,bn,Bonik Barta,https://www.bonikbarta.com/cdn-cgi/content?id=.r4d7ud8f1g_7H5V2Mw.gIn7kiqMGERDvV_8L5IQk0k-1771159012.0916388-1.0.1.1-xmjIQ5qCyyec6GccON6Z4WUmHrw_bmM6NwqdPc1RkSQ,3848
International Relations: A Delicate Dance of Diplomacy,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=sQVPXvc4xHWdBCllqvEXW7iAYGmQ5MnZsJAuWc_qKWM-1771159003-1.1.1.1-LdqPDO2pGWb6e8Q8bBunnIjRa2OU1Z_h0b_T0le.0bM,2887
Introduction to Francophone Studies,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=55dZwp0ZD93AdMGeFZnkWtUi9dYHoQzDaodStwNzRHA-1771159003-1.1.1.1-ni25d0PL_Haw2EqMbsaEzyQlOP5yb.jIEwsu5qZOxKs,3255
Heart Transplantation: A Marvel of Modern Medicine,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=T1fHPKcdQz30j_8KWqIPA5Yq9RtWQdU_aMMv9N1yaL0-1771159003-1.1.1.1-HRWXFhMeqTilgKH15o3t.yFG4QdpkwFtrDtLJMy0y.c,2548
Introduction to Green Roof Research,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=uQhjPgzcQkJgLUEZmS4kgN1GAnXukQJhrfkIbssW4t0-1771159004-1.1.1.1-PihD6t7OLCSjJNjAlUizjbbN_WFhpsJsx7EHPalYAno,3449
Surface Chemistry: A Realm of Fascinating Interactions,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=J1S7tjWO1b6oADsY3Qm7sk7lY_oczcsv1LiFPtIp6dg-1771159003-1.1.1.1-kWz9n4l6t7LHyiLWWMsQ_AyqbIUBE.eKncYwffsiPfM,2267
Psychoneuroimmunology: Unveiling the Complex Relationships,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=_Idcy64ok_oK_UqLnXYsSyQywe3B_C9mYcS.FpNjeOs-1771159004-1.1.1.1-BL2u0M03NLCTEpyNgD5xAH4rp2ftHnTldau2JEFjRv0,3296
Delving into the Realm of Physical Chemistry,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=n36BzUtpCOFACReMTa9zGYNK8v9JfeQbHTw.2mE9NgE-1771159003-1.1.1.1-z7XWUFCJbwSlFFBhEMGM8Hmu6A0UntrSgARKU5cTA.Y,2952
Bioelectromagnetism: The Hidden Forces Within,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=AEH90bD.A.WUWV4mLtcydgQZicyW6S2kXrFBx2PKiok-1771159004-1.1.1.1-eIw2OsBVKlHjPFmYaiKBqQY5qnsxxni0NdKtWD3rCtM,3262
Design Engineering: The Art of Crafting Innovative Solutions,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=MLQKdoR2uISnbolucONk57jrOIv548teKS8m6qTRn4E-1771159003-1.1.1.1-No3bCyBYsWsbqWdD9aKeketidDkDpHZN5pSgwrLeXKQ,2999
Lexicography: A Journey into the Heart of Language,bn,Kaler Kantho,https://www.kalerkantho.com/cdn-cgi/content?id=4EfwNos5oOH4AAmDbPpc6mMi.AqkuvjB_yJXk19_l6g-1771159004-1.1.1.1-O4w_CuGAnkp2KZvoAnNc06nSsAsXC_TehzOIIjg4ERg,2809
গার্মেন্টস-এ বেতন-ভাতা পরিশোধের নির্দেশ,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140921_mk_bangla_garments_salary_bonus.shtml,922
ইরাকে আইএস জঙ্গীদের ওপর ফ্রান্সের প্রথম বিমান হামলা,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_an_france_air_strike_is_iraq.shtml,536
ভারতকে বিশেষ অর্থনৈতিক জোন তৈরির জায়গা দেবে বাংলাদেশ,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140920_aho_dhaka_delhi_jcc_meet.shtml,1264
"স্বাধীন হতে কাতালোনিয়ায় গণভোট, স্পেনের আপত্তি",bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140920_si_catalonia.shtml,1432
দিল্লিতে ভারত-বাংলাদেশ দ্বিপাক্ষিক বৈঠক,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_an_sg_delhi_talks.shtml,2554
জামায়াতের দ্বিতীয় দিনের হরতাল চলছে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140921_si_jamaat_strike_sunday.shtml,970
স্কটল্যান্ডের 'না' ভোটে বহির্বিশ্বে স্বস্তি ও উদ্বেগ,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_sm_scotland_referendum_world_reax_challenges.shtml,2897
জেএমবি'র ভারপ্রাপ্ত প্রধানসহ ৭ জন গ্রেফতার,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_an_bd_jmb_acting_chief_arrest_seven.shtml,2512
আইএসের হাতে জিম্মি ৪৯ জন তুর্কী উদ্ধার,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140920_aho_turkey_hostage_free.shtml,1212
সুপ্রিম কোর্ট এমন কাজ আগেও করেছে: মেনন,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140920_rh_sanglap86_report.shtml,3487
সোমবার বিএনপি নেতৃত্বাধীন বিরোধী জোটের হরতাল,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140920_aho_bnp_hartal.shtml,640
স্কটল্যান্ডের স্বাধীনতাকামী নেতা পদত্যাগ করছেন,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_an_scotland_rejects_independence.shtml,1341
স্কটল্যান্ডে স্বাধীনতার প্রশ্নে 'না' ভোট এগিয়ে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_an_scotland_referendum.shtml,1067
মালাউইতে শিশুমৃত্যু কেন কম?,bn,BBC Bangla,http://www.bbc.co.uk/bengali/multimedia/2014/09/140918_mk_malawi_child.shtml,697
"স্কটল্যান্ডে গণভোটের ফল প্রকাশ শুরু, দুটি এলাকায় না ভোট",bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140919_sp_scotland_referendum.shtml,896
স্বাধীনতা: ইতিহাসের সন্ধিক্ষণে স্কটল্যান্ড,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_mk_scotland_referendum_vote.shtml,953
প্রবাসে বাংলাদেশী শ্রমিকদের মৃত্যুর সংখ্যা বাড়ছে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_mk_bangla_migrant_workers_labours_saudi.shtml,2417
রায়ের প্রতিবাদে জামায়াতের হরতাল চলছে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_fp_jamat_vardict.shtml,664
চীন ভারতে ২০০০ কোটি ডলার বিনিয়োগ করবে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_mk_india_china_investment_trade.shtml,3643
"জামায়াতের নিরুত্তাপ হরতাল, শেষ হচ্ছে সকালে",bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_mk_jamaat_hartal_strike.shtml,1541
"জাতিসংঘের সাম্প্রতিক এক পরিসংখ্যানে দেখা যাচ্ছে, পৃথিবীর বায়ুমণ্ডলে কার্বন ডাই অক্সাইডের পরিমাণ...",bn,BBC Bangla,http://www.bbc.co.uk/bengali/multimedia/2014/09/140916_mrk_science_climate_change_robot.shtml,2713
ভারতে পুলিশে নারীর সংখ্যা এক তৃতীয়াংশ করার প্রস্তাব,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_si_india_police_women.shtml,3008
স্বাধীনতার প্রশ্নে স্কটল্যান্ডে ভোটগ্রহণ চলছে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140918_mk_scotland_referendum_vote_day_opens.shtml,905
"শাহবাগে পুলিশের কাঁদানি গ্যাস, রাজশাহী সিলেটে বিক্ষোভ",bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_si_sayeedi_protest_clash.shtml,2169
হিজড়াদের অস্ত্রোপচারে ভর্তুকি ছত্তিশগড়ে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_sg_chattisgarh_trangenders.shtml,2289
স্কটল্যান্ডের এডিনবারায় শেষ মূহুর্তের প্রচারণা,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_mb_scottish_referendum.shtml,2281
ইবোলা বৈশ্বিক নিরাপত্তার জন্য ঝুঁকি: ওবামা,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_aho_ebola_obama_cdc.shtml,907
সাঈদীর রায়ের প্রতিবাদে জামায়াতের হরতাল চলছে,bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_si_sayeedi_protest2.shtml,2470
"সাঈদীর আমৃত্যু কারাদণ্ড, জামায়াতের হরতাল",bn,BBC Bangla,http://www.bbc.co.uk/bengali/news/2014/09/140917_si_sayedee_verdict.shtml,4309
